N,P,K,temperature,humidity,ph,rainfall,crop,location,season,yield
23,51,22,29.89,81.55,6.42,49.98,mungbean,Coastal Delta,Rabi,1.43
14,55,26,30.12,78.79,6.97,37.22,mungbean,Coastal Delta,Rabi,1.62
18,53,27,27.85,84.76,6.15,32.56,mungbean,Coastal Delta,Kharif,1.1
13,50,15,29.36,79.2,6.63,63.32,mungbean,Central Plateau,Zaid,1.42
12,44,16,28.2,78.94,7.45,51.87,mungbean,Southern Hills,Zaid,1.28
16,50,28,26.71,82.4,6.11,62.98,mungbean,Central Plateau,Whole Year,1.51
20,49,24,29.81,80.1,7.17,50.97,mungbean,Northeast Plain,Kharif,1.04
9,46,27,27.03,84.62,6.77,39.86,mungbean,Western Dry Zone,Kharif,1.68
21,51,16,28.36,80.01,6.59,50.59,mungbean,Western Dry Zone,Rabi,1.45
12,47,18,29.01,81.53,6.71,44.08,mungbean,Southern Hills,Whole Year,1.25
16,50,21,28.06,86.46,6.77,49.36,mungbean,Coastal Delta,Whole Year,1.48
11,47,27,29.15,83.37,6.94,49.2,mungbean,Northeast Plain,Rabi,1.07
25,51,12,29.2,85.89,6.48,50.47,mungbean,Coastal Delta,Whole Year,1.78
26,51,19,28.86,81.38,5.95,57.23,mungbean,Central Plateau,Kharif,1.18
15,52,24,27.56,85.77,5.98,44.96,mungbean,Central Plateau,Kharif,1.16
14,47,17,28.76,82.74,6.48,42.19,mungbean,Southern Hills,Zaid,1.08
20,47,18,30.05,79.28,6.63,56.11,mungbean,Western Dry Zone,Whole Year,1.57
20,48,17,28.85,85.97,7.38,59.67,mungbean,Northeast Plain,Rabi,1.38
11,45,20,29.19,80.39,6.44,53.92,mungbean,Coastal Delta,Zaid,1.28
13,55,13,29.6,81.44,6.95,42.53,mungbean,Western Dry Zone,Kharif,1.58
22,46,21,28.28,83.25,6.12,34.78,mungbean,Western Dry Zone,Whole Year,1.11
15,58,22,27.15,84.29,7.04,43.5,mungbean,Central Plateau,Kharif,1.73
20,44,21,27.58,86.07,7.08,56.49,mungbean,Northeast Plain,Whole Year,1.03
12,55,22,27.5,81.76,6.39,56.73,mungbean,Central Plateau,Rabi,1.08
7,53,13,27.56,77.42,6.54,56.97,mungbean,Central Plateau,Zaid,1.75
27,57,22,28.31,80.85,6.32,45.54,mungbean,Western Dry Zone,Whole Year,1.53
23,51,27,27.95,85.59,6.72,39.32,mungbean,Western Dry Zone,Whole Year,1.17
20,50,17,28.15,82.16,6.08,45.14,mungbean,Central Plateau,Zaid,1.0
25,49,18,28.31,83.5,6.58,44.18,mungbean,Coastal Delta,Rabi,1.71
15,52,22,28.59,82.05,7.29,47.34,mungbean,Southern Hills,Whole Year,1.1
29,43,21,27.31,82.49,6.69,33.49,mungbean,Northeast Plain,Zaid,1.48
10,43,17,28.55,83.39,6.55,40.78,mungbean,Coastal Delta,Whole Year,1.76
7,52,26,28.95,81.88,7.37,33.79,mungbean,Southern Hills,Rabi,1.05
29,56,21,29.85,81.22,7.16,61.33,mungbean,Western Dry Zone,Zaid,1.73
26,46,20,27.14,82.6,6.63,46.66,mungbean,Coastal Delta,Kharif,1.41
15,58,24,26.5,80.98,7.17,55.69,mungbean,Coastal Delta,Zaid,1.39
8,46,25,30.44,84.03,6.29,40.25,mungbean,Western Dry Zone,Whole Year,1.42
14,49,25,28.28,85.37,6.06,57.99,mungbean,Northeast Plain,Whole Year,1.28
13,49,18,29.77,81.73,6.96,46.48,mungbean,Southern Hills,Kharif,1.0
14,49,24,27.35,81.82,6.54,59.06,mungbean,Northeast Plain,Rabi,1.17
13,44,21,26.89,85.51,6.52,46.72,mungbean,Southern Hills,Kharif,1.21
19,44,15,28.98,81.55,6.23,50.7,mungbean,Central Plateau,Whole Year,1.59
18,49,13,30.49,79.11,7.01,32.95,mungbean,Coastal Delta,Rabi,1.45
14,58,19,28.69,82.02,6.28,41.36,mungbean,Central Plateau,Kharif,1.62
25,46,17,29.12,82.57,6.5,51.85,mungbean,Southern Hills,Kharif,1.15
19,46,22,28.85,84.91,6.74,46.89,mungbean,Western Dry Zone,Whole Year,1.11
24,57,17,29.26,83.5,6.48,47.42,mungbean,Northeast Plain,Rabi,1.47
23,49,20,27.13,82.09,6.35,43.91,mungbean,Northeast Plain,Kharif,1.3
17,54,16,27.0,83.39,7.02,38.46,mungbean,Coastal Delta,Whole Year,1.44
22,57,27,28.37,81.26,6.95,45.01,mungbean,Coastal Delta,Rabi,1.49
24,55,20,29.05,80.11,7.21,57.08,mungbean,Western Dry Zone,Kharif,1.53
23,41,21,27.73,78.83,7.06,40.51,mungbean,Western Dry Zone,Rabi,1.34
24,51,19,27.81,83.96,6.54,41.0,mungbean,Southern Hills,Rabi,1.06
30,49,17,29.62,82.7,6.87,45.61,mungbean,Coastal Delta,Rabi,1.08
24,40,21,27.13,81.92,6.66,56.67,mungbean,Southern Hills,Whole Year,1.26
25,58,25,26.74,81.79,6.56,36.78,mungbean,Northeast Plain,Rabi,1.03
13,49,23,27.28,81.82,6.75,34.31,mungbean,Western Dry Zone,Kharif,1.65
23,46,23,28.33,82.82,6.46,41.15,mungbean,Northeast Plain,Rabi,1.72
14,55,24,28.19,80.93,6.89,38.46,mungbean,Western Dry Zone,Kharif,1.4
21,50,24,27.62,82.51,6.69,32.98,mungbean,Coastal Delta,Kharif,1.09
11,55,18,29.15,81.67,6.45,46.47,mungbean,Southern Hills,Rabi,1.35
25,57,17,29.3,80.73,6.23,34.05,mungbean,Central Plateau,Rabi,1.74
9,51,18,28.61,82.4,6.64,44.14,mungbean,Coastal Delta,Zaid,1.21
10,50,25,29.9,83.22,6.62,46.61,mungbean,Central Plateau,Kharif,1.08
20,44,15,28.52,84.38,6.46,46.73,mungbean,Coastal Delta,Kharif,1.25
26,47,23,30.56,81.06,7.22,42.01,mungbean,Southern Hills,Whole Year,1.57
23,53,15,26.87,83.41,6.37,46.05,mungbean,Central Plateau,Whole Year,1.36
14,42,17,27.12,78.8,6.48,48.04,mungbean,Northeast Plain,Zaid,1.55
17,50,13,28.88,84.54,6.55,58.12,mungbean,Western Dry Zone,Zaid,1.2
11,52,25,29.59,82.29,6.5,51.65,mungbean,Western Dry Zone,Rabi,1.53
11,47,18,28.17,78.13,5.93,54.13,mungbean,Central Plateau,Rabi,1.48
25,60,27,27.07,80.56,6.74,39.9,mungbean,Western Dry Zone,Kharif,1.27
27,65,30,28.28,58.07,7.51,65.53,blackgram,Northeast Plain,Zaid,1.28
36,59,30,26.69,67.71,7.21,82.16,blackgram,Coastal Delta,Rabi,1.82
39,57,28,26.6,71.4,6.55,70.31,blackgram,Northeast Plain,Rabi,1.64
42,74,26,25.13,63.89,6.57,64.88,blackgram,Southern Hills,Zaid,1.29
44,66,31,26.56,61.26,6.73,54.89,blackgram,Southern Hills,Zaid,1.35
32,62,27,26.29,62.19,6.8,72.51,blackgram,Western Dry Zone,Whole Year,1.96
37,64,27,29.23,62.44,6.97,71.23,blackgram,Coastal Delta,Whole Year,1.75
46,66,27,27.27,62.86,6.57,61.77,blackgram,Coastal Delta,Kharif,1.38
36,58,27,27.48,67.16,6.39,78.43,blackgram,Northeast Plain,Kharif,1.49
32,64,20,28.56,68.56,7.51,62.32,blackgram,Northeast Plain,Whole Year,1.45
49,67,35,27.75,65.11,6.86,80.46,blackgram,Coastal Delta,Kharif,1.82
43,65,26,27.21,64.14,7.28,81.58,blackgram,Western Dry Zone,Zaid,1.83
30,57,27,27.41,64.92,6.77,63.12,blackgram,Coastal Delta,Zaid,1.52
36,54,30,29.8,66.82,6.84,63.3,blackgram,Coastal Delta,Zaid,1.19
42,57,28,26.83,61.13,6.85,74.74,blackgram,Coastal Delta,Zaid,1.94
35,63,30,28.76,67.02,6.41,74.42,blackgram,Central Plateau,Whole Year,1.51
43,70,29,29.79,66.16,7.17,80.79,blackgram,Southern Hills,Whole Year,1.73
39,75,24,28.89,66.65,6.82,70.36,blackgram,Western Dry Zone,Rabi,1.92
28,66,20,29.38,65.58,6.93,64.04,blackgram,Central Plateau,Zaid,1.55
47,68,18,27.58,62.18,6.39,74.5,blackgram,Northeast Plain,Zaid,1.32
45,61,24,27.63,63.32,6.24,69.53,blackgram,Central Plateau,Rabi,1.86
39,71,16,26.73,63.0,6.99,51.55,blackgram,Northeast Plain,Rabi,1.46
38,59,28,28.69,68.57,6.93,62.59,blackgram,Coastal Delta,Rabi,1.35
30,71,29,29.81,68.82,6.45,60.23,blackgram,Southern Hills,Rabi,1.8
38,62,23,28.55,65.97,7.07,64.6,blackgram,Northeast Plain,Kharif,1.48
40,69,29,27.12,62.59,7.28,61.8,blackgram,Northeast Plain,Zaid,1.82
47,53,18,25.65,64.35,7.43,74.68,blackgram,Northeast Plain,Rabi,1.21
34,67,20,25.48,65.1,6.89,60.05,blackgram,Northeast Plain,Whole Year,1.49
44,63,19,29.22,66.13,6.86,66.76,blackgram,Central Plateau,Kharif,1.9
45,63,27,27.06,59.17,7.04,75.59,blackgram,Western Dry Zone,Zaid,1.44
28,66,20,27.46,65.15,6.82,57.47,blackgram,Western Dry Zone,Zaid,1.69
38,52,26,28.23,70.48,6.82,75.27,blackgram,Northeast Plain,Rabi,1.51
43,58,24,28.05,60.57,7.19,59.89,blackgram,Southern Hills,Zaid,1.37
40,66,26,28.83,64.58,6.74,76.28,blackgram,Coastal Delta,Zaid,1.58
37,55,25,28.11,59.71,6.31,71.21,blackgram,Southern Hills,Whole Year,1.42
34,64,29,25.63,67.63,7.14,81.38,blackgram,Western Dry Zone,Kharif,1.7
42,64,27,28.91,62.53,6.83,78.99,blackgram,Western Dry Zone,Rabi,1.2
34,69,33,24.54,62.25,7.06,67.69,blackgram,Coastal Delta,Kharif,1.8
37,61,26,25.83,59.93,6.82,64.06,blackgram,Western Dry Zone,Zaid,1.47
41,68,31,25.09,62.96,6.34,56.03,blackgram,Southern Hills,Zaid,1.54
32,67,32,29.38,63.41,7.26,71.54,blackgram,Northeast Plain,Rabi,1.52
37,64,25,29.58,64.23,6.7,58.16,blackgram,Southern Hills,Kharif,1.3
42,63,29,26.36,65.85,7.66,72.45,blackgram,Southern Hills,Whole Year,1.29
38,56,16,26.66,70.35,6.58,76.39,blackgram,Central Plateau,Zaid,1.53
40,72,31,26.62,59.67,7.09,74.17,blackgram,Central Plateau,Rabi,1.54
44,56,27,25.07,65.83,7.14,68.32,blackgram,Coastal Delta,Kharif,1.67
37,67,23,29.96,65.76,7.36,70.39,blackgram,Coastal Delta,Rabi,1.72
40,63,23,29.34,67.95,7.08,71.33,blackgram,Coastal Delta,Zaid,1.45
41,55,30,29.87,65.17,7.04,78.08,blackgram,Western Dry Zone,Zaid,1.4
34,57,27,26.92,58.26,7.24,62.74,blackgram,Southern Hills,Kharif,1.26
36,58,25,27.46,63.47,7.03,74.48,blackgram,Southern Hills,Rabi,1.48
36,69,20,28.54,72.51,6.9,69.8,blackgram,Central Plateau,Rabi,1.19
47,61,26,25.61,62.04,7.14,65.56,blackgram,Western Dry Zone,Whole Year,1.42
27,56,25,26.98,60.1,7.14,69.49,blackgram,Coastal Delta,Kharif,1.44
27,68,31,28.54,63.68,7.34,76.79,blackgram,Coastal Delta,Zaid,1.36
40,61,28,27.84,68.06,7.44,60.64,blackgram,Coastal Delta,Rabi,1.77
27,63,17,28.08,65.07,7.03,62.42,blackgram,Northeast Plain,Whole Year,1.88
35,62,31,29.14,69.5,7.1,79.82,blackgram,Central Plateau,Rabi,1.66
35,62,25,28.1,66.68,6.82,67.3,blackgram,Central Plateau,Zaid,1.53
42,63,20,25.25,61.96,7.13,59.13,blackgram,Western Dry Zone,Whole Year,1.4
26,61,30,28.56,63.72,6.74,73.76,blackgram,Western Dry Zone,Rabi,1.84
41,66,25,27.91,64.1,6.66,66.39,blackgram,Central Plateau,Whole Year,1.46
41,65,24,27.61,61.08,6.88,77.24,blackgram,Northeast Plain,Whole Year,1.77
46,56,20,27.78,67.91,7.21,55.74,blackgram,Central Plateau,Kharif,1.64
34,70,21,27.13,63.4,6.9,77.16,blackgram,Coastal Delta,Zaid,1.39
44,67,23,27.74,67.71,7.59,71.38,blackgram,Southern Hills,Whole Year,1.65
39,66,22,27.71,61.76,6.33,53.59,blackgram,Coastal Delta,Kharif,1.54
40,61,23,26.47,59.0,7.07,71.0,blackgram,Central Plateau,Rabi,1.66
42,70,27,29.16,64.37,7.68,54.88,blackgram,Coastal Delta,Kharif,1.34
41,71,23,30.41,66.04,6.81,66.0,blackgram,Western Dry Zone,Whole Year,1.92
31,58,25,29.52,65.55,6.6,74.22,blackgram,Northeast Plain,Rabi,1.83
28,53,19,26.75,66.65,7.34,60.88,blackgram,Northeast Plain,Whole Year,1.65
33,68,34,27.58,71.24,6.96,64.38,blackgram,Central Plateau,Whole Year,1.65
40,54,23,28.16,64.7,7.0,80.99,blackgram,Western Dry Zone,Whole Year,1.51
34,67,24,29.49,65.01,7.32,71.22,blackgram,Coastal Delta,Zaid,1.71
45,63,25,28.47,67.38,7.2,59.41,blackgram,Northeast Plain,Whole Year,1.2
45,64,29,29.85,60.15,6.35,73.3,blackgram,Coastal Delta,Whole Year,1.5
38,63,29,27.15,62.53,7.2,72.43,blackgram,Northeast Plain,Whole Year,1.58
46,68,23,27.48,69.45,6.53,68.64,blackgram,Coastal Delta,Zaid,1.2
48,62,31,26.46,57.76,6.79,70.47,blackgram,Northeast Plain,Whole Year,1.47
41,56,22,27.62,61.72,6.79,67.04,blackgram,Western Dry Zone,Kharif,1.36
38,59,25,29.02,64.59,6.44,69.96,blackgram,Central Plateau,Rabi,1.55
41,54,24,29.74,61.98,7.44,77.48,blackgram,Central Plateau,Kharif,1.53
45,63,26,29.57,59.39,6.56,72.55,blackgram,Northeast Plain,Zaid,1.66
33,63,26,29.61,67.71,7.07,58.16,blackgram,Western Dry Zone,Kharif,1.22
36,57,22,28.7,64.03,7.29,78.81,blackgram,Northeast Plain,Zaid,1.29
38,58,22,25.79,63.61,7.02,68.85,blackgram,Western Dry Zone,Whole Year,1.79
41,72,20,25.53,58.08,6.41,60.25,blackgram,Northeast Plain,Zaid,1.32
42,67,29,28.39,62.44,6.83,64.91,blackgram,Northeast Plain,Whole Year,1.65
40,65,21,25.38,58.52,7.07,66.05,blackgram,Western Dry Zone,Whole Year,1.91
29,64,19,27.59,68.79,7.19,79.68,blackgram,Western Dry Zone,Kharif,1.7
45,68,19,25.27,58.47,6.97,76.58,blackgram,Western Dry Zone,Kharif,1.47
38,53,29,26.2,61.15,7.06,81.68,blackgram,Western Dry Zone,Rabi,1.34
38,63,33,28.73,68.22,7.33,68.4,blackgram,Coastal Delta,Whole Year,1.31
35,51,25,25.28,60.0,7.46,63.8,blackgram,Northeast Plain,Zaid,1.59
32,61,30,26.2,70.4,7.27,57.43,blackgram,Northeast Plain,Zaid,1.22
33,60,28,26.35,65.48,6.84,65.44,blackgram,Central Plateau,Rabi,1.31
40,58,22,24.32,65.34,6.87,77.34,blackgram,Southern Hills,Rabi,1.23
38,63,25,29.74,66.05,6.74,61.96,blackgram,Coastal Delta,Whole Year,1.63
34,71,24,26.39,69.46,6.67,76.83,blackgram,Western Dry Zone,Kharif,1.9
16,63,29,22.18,66.14,6.02,44.93,lentil,Southern Hills,Whole Year,1.74
16,66,26,23.52,69.58,6.22,44.53,lentil,Northeast Plain,Kharif,1.99
23,59,22,18.86,61.67,6.5,44.7,lentil,Coastal Delta,Rabi,1.53
19,57,19,24.27,62.61,6.54,42.75,lentil,Northeast Plain,Kharif,1.52
12,56,24,23.95,68.06,6.59,45.1,lentil,Coastal Delta,Zaid,1.5
22,50,30,19.51,65.01,6.63,47.06,lentil,Central Plateau,Whole Year,1.7
27,68,17,22.05,60.71,6.07,38.77,lentil,Western Dry Zone,Zaid,1.97
21,63,26,19.51,62.38,5.85,44.03,lentil,Southern Hills,Kharif,1.82
22,63,24,21.88,66.06,6.73,52.96,lentil,Southern Hills,Rabi,1.76
20,57,28,18.89,63.78,7.08,47.35,lentil,Western Dry Zone,Rabi,1.65
21,60,32,21.98,65.72,7.1,43.0,lentil,Western Dry Zone,Whole Year,1.46
19,66,24,19.12,64.35,6.27,40.93,lentil,Northeast Plain,Kharif,1.97
28,60,20,18.88,65.13,6.42,33.0,lentil,Central Plateau,Zaid,1.7
16,64,31,19.11,63.85,6.42,51.79,lentil,Coastal Delta,Rabi,1.47
20,60,34,19.76,69.6,6.91,44.47,lentil,Southern Hills,Whole Year,1.67
19,59,17,21.54,67.87,6.5,39.87,lentil,Western Dry Zone,Whole Year,1.95
25,62,20,19.46,67.47,6.86,34.23,lentil,Central Plateau,Rabi,1.81
20,59,27,21.36,65.29,6.78,47.2,lentil,Central Plateau,Whole Year,1.54
24,62,28,24.42,67.38,6.5,37.76,lentil,Northeast Plain,Rabi,1.77
18,57,28,20.66,70.41,6.46,49.89,lentil,Northeast Plain,Whole Year,2.04
20,63,22,19.75,60.56,6.85,45.12,lentil,Central Plateau,Kharif,1.87
23,55,32,21.43,62.27,6.61,46.94,lentil,Central Plateau,Rabi,1.56
16,60,21,22.89,64.98,5.86,43.6,lentil,Southern Hills,Zaid,1.73
21,59,25,19.6,66.84,7.27,46.46,lentil,Western Dry Zone,Whole Year,1.59
26,61,28,22.95,66.33,5.98,49.99,lentil,Southern Hills,Whole Year,1.85
18,54,33,22.07,68.27,6.49,37.42,lentil,Central Plateau,Kharif,1.87
12,56,26,21.89,63.32,6.23,56.15,lentil,Southern Hills,Whole Year,2.14
17,58,26,21.26,62.85,6.45,58.32,lentil,Central Plateau,Rabi,1.84
15,52,28,21.57,62.86,6.32,52.62,lentil,Coastal Delta,Whole Year,1.69
18,51,21,24.93,69.07,7.16,48.48,lentil,Central Plateau,Kharif,2.0
21,69,25,22.02,62.76,6.06,32.65,lentil,Western Dry Zone,Whole Year,2.05
30,59,21,22.98,60.27,6.16,51.22,lentil,Western Dry Zone,Zaid,1.75
27,62,17,18.04,63.11,6.8,56.22,lentil,Central Plateau,Kharif,1.39
17,55,23,20.5,63.8,6.2,46.73,lentil,Southern Hills,Whole Year,2.07
21,69,25,23.31,66.45,6.68,49.17,lentil,Southern Hills,Whole Year,1.88
18,65,26,18.83,69.28,6.74,40.34,lentil,Coastal Delta,Zaid,1.44
26,56,18,19.92,62.88,7.26,52.62,lentil,Northeast Plain,Whole Year,1.63
17,58,20,21.49,62.12,6.25,49.88,lentil,Central Plateau,Rabi,1.83
21,57,15,19.09,66.99,5.8,55.63,lentil,Western Dry Zone,Whole Year,1.76
25,57,25,21.46,66.74,7.07,49.7,lentil,Western Dry Zone,Rabi,2.01
20,58,31,18.93,66.76,6.91,37.71,lentil,Coastal Delta,Whole Year,1.44
16,55,26,22.1,65.71,6.33,43.62,lentil,Western Dry Zone,Zaid,1.69
20,68,23,17.92,62.54,6.33,43.89,lentil,Coastal Delta,Zaid,2.05
18,63,16,22.58,65.53,6.44,52.29,lentil,Southern Hills,Whole Year,2.0
16,62,33,19.8,63.13,6.62,41.94,lentil,Western Dry Zone,Rabi,2.12
19,59,35,19.49,64.42,6.31,42.21,lentil,Northeast Plain,Whole Year,1.92
14,58,22,24.69,67.66,6.85,42.0,lentil,Southern Hills,Kharif,1.9
20,58,23,21.48,69.23,6.77,48.73,lentil,Northeast Plain,Kharif,1.88
22,54,24,23.35,65.55,6.35,48.67,lentil,Central Plateau,Zaid,2.09
26,52,22,20.44,69.27,7.01,40.98,lentil,Western Dry Zone,Kharif,1.9
17,64,24,22.61,68.97,6.02,48.62,lentil,Western Dry Zone,Whole Year,2.03
18,59,24,21.34,59.87,6.5,49.93,lentil,Northeast Plain,Kharif,2.04
18,64,25,19.08,66.58,6.15,43.62,lentil,Northeast Plain,Whole Year,1.61
24,59,23,23.86,61.06,6.18,38.54,lentil,Southern Hills,Rabi,1.42
22,66,17,20.08,67.01,6.22,45.97,lentil,Southern Hills,Kharif,1.88
22,53,19,23.09,70.42,5.97,45.13,lentil,Northeast Plain,Zaid,1.68
21,66,24,25.4,70.24,6.25,44.27,lentil,Northeast Plain,Zaid,1.65
27,65,18,21.97,62.93,6.44,40.94,lentil,Western Dry Zone,Rabi,1.96
24,60,22,25.32,66.43,6.28,45.45,lentil,Central Plateau,Kharif,1.37
12,62,26,18.76,67.3,7.05,41.85,lentil,Southern Hills,Rabi,2.01
15,58,26,24.98,71.02,6.79,43.82,lentil,Northeast Plain,Zaid,1.85
27,57,23,21.23,63.63,6.32,32.47,lentil,Northeast Plain,Whole Year,1.44
20,59,30,22.81,63.23,6.31,45.15,lentil,Western Dry Zone,Whole Year,1.77
22,59,25,20.04,66.59,7.07,54.23,lentil,Western Dry Zone,Rabi,1.64
26,60,25,20.79,61.93,6.29,40.13,lentil,Coastal Delta,Rabi,1.53
22,62,29,23.55,66.65,6.97,42.58,lentil,Central Plateau,Whole Year,1.44
22,63,25,20.71,64.15,5.94,46.94,lentil,Southern Hills,Kharif,1.66
16,53,32,23.7,63.49,6.61,44.4,lentil,Central Plateau,Rabi,1.63
25,69,20,17.84,65.54,5.85,42.26,lentil,Western Dry Zone,Rabi,1.38
22,64,24,22.19,60.35,6.2,45.47,lentil,Western Dry Zone,Rabi,1.85
22,54,22,19.41,68.43,6.39,41.68,lentil,Northeast Plain,Whole Year,1.69
19,65,29,24.85,61.58,6.45,55.56,lentil,Northeast Plain,Kharif,1.84
15,58,30,20.12,61.34,5.98,42.36,lentil,Coastal Delta,Zaid,1.77
20,66,33,20.58,61.65,6.2,52.04,lentil,Northeast Plain,Whole Year,1.9
19,56,30,24.8,60.26,6.12,35.75,lentil,Western Dry Zone,Whole Year,1.71
24,63,20,19.1,64.62,5.98,48.73,lentil,Coastal Delta,Rabi,1.66
17,61,19,20.07,60.77,7.1,49.52,lentil,Western Dry Zone,Zaid,1.43
13,54,17,18.23,68.42,5.92,45.92,lentil,Western Dry Zone,Whole Year,1.53
19,55,26,23.86,65.09,6.67,46.88,lentil,Southern Hills,Rabi,1.58
20,60,28,20.48,69.23,6.18,54.46,lentil,Northeast Plain,Zaid,2.01
23,54,30,22.78,71.03,6.78,53.72,lentil,Southern Hills,Zaid,1.52
14,65,32,20.12,69.34,6.48,37.01,lentil,Southern Hills,Whole Year,2.01
20,57,33,18.4,58.26,6.06,37.34,lentil,Southern Hills,Kharif,1.97
22,59,23,22.82,67.13,6.53,34.9,lentil,Southern Hills,Whole Year,1.92
15,61,27,19.21,61.15,6.36,45.89,lentil,Coastal Delta,Rabi,1.9
21,59,17,18.81,60.2,6.17,40.34,lentil,Southern Hills,Zaid,1.9
21,58,17,23.69,68.12,6.05,51.49,lentil,Coastal Delta,Whole Year,1.39
26,65,20,19.37,65.18,6.7,57.8,lentil,Western Dry Zone,Kharif,1.44
26,67,25,19.47,62.43,6.4,55.99,lentil,Southern Hills,Zaid,1.57
18,54,32,19.2,68.73,6.22,52.16,lentil,Northeast Plain,Kharif,1.73
17,54,23,24.55,67.29,6.31,42.53,lentil,Coastal Delta,Zaid,1.64
18,63,20,18.02,71.39,6.39,51.85,lentil,Western Dry Zone,Zaid,1.93
23,66,33,18.4,65.34,6.44,43.17,lentil,Southern Hills,Whole Year,1.37
20,56,21,19.59,66.37,5.95,50.75,lentil,Southern Hills,Whole Year,1.53
23,56,29,22.7,60.76,6.83,38.22,lentil,Coastal Delta,Rabi,1.59
21,58,28,24.66,64.75,6.25,53.63,lentil,Southern Hills,Zaid,1.77
11,67,21,23.81,64.28,6.69,50.89,lentil,Central Plateau,Kharif,1.85
21,58,20,24.41,67.46,6.62,41.39,lentil,Western Dry Zone,Whole Year,1.56
20,56,18,20.63,62.03,6.88,44.24,lentil,Coastal Delta,Zaid,1.71
13,55,24,19.13,68.72,6.33,43.01,lentil,Western Dry Zone,Zaid,1.71
17,13,34,23.19,85.95,6.07,99.58,pomegranate,Coastal Delta,Whole Year,4.05
23,9,35,25.0,88.47,6.65,104.08,pomegranate,Northeast Plain,Kharif,4.71
10,19,41,20.02,84.66,6.9,102.71,pomegranate,Southern Hills,Kharif,4.24
12,27,31,20.2,89.65,6.63,98.87,pomegranate,Central Plateau,Kharif,4.28
21,15,49,21.59,88.79,6.34,115.06,pomegranate,Central Plateau,Kharif,4.65
14,10,48,21.04,91.8,6.16,114.75,pomegranate,Central Plateau,Rabi,5.09
28,15,34,23.46,87.91,6.56,107.18,pomegranate,Western Dry Zone,Whole Year,5.3
20,18,35,20.71,90.03,6.12,111.38,pomegranate,Southern Hills,Zaid,4.19
28,24,43,22.1,83.49,6.15,94.1,pomegranate,Northeast Plain,Zaid,4.78
18,23,38,22.64,89.91,6.7,97.24,pomegranate,Western Dry Zone,Zaid,5.33
18,28,44,24.13,87.9,6.9,112.98,pomegranate,Western Dry Zone,Kharif,4.58
8,19,43,19.23,91.53,6.03,98.62,pomegranate,Northeast Plain,Zaid,4.78
16,10,40,20.95,89.4,6.59,100.56,pomegranate,Central Plateau,Kharif,5.02
20,6,37,24.07,85.44,6.61,96.84,pomegranate,Southern Hills,Kharif,5.11
20,14,38,22.55,83.55,6.46,95.73,pomegranate,Central Plateau,Kharif,5.22
11,10,45,22.44,89.43,5.98,110.62,pomegranate,Western Dry Zone,Kharif,4.72
17,23,43,20.25,87.4,6.2,111.21,pomegranate,Western Dry Zone,Kharif,4.54
7,24,39,24.15,82.27,6.07,115.56,pomegranate,Northeast Plain,Zaid,4.79
22,18,39,22.88,89.2,6.74,100.84,pomegranate,Southern Hills,Whole Year,4.62
9,15,35,23.08,87.06,6.97,100.01,pomegranate,Central Plateau,Whole Year,4.45
20,19,41,24.66,89.69,6.71,106.54,pomegranate,Northeast Plain,Kharif,5.23
15,6,43,24.74,86.32,6.79,97.97,pomegranate,Western Dry Zone,Rabi,3.98
23,21,39,20.44,89.08,6.22,100.98,pomegranate,Central Plateau,Kharif,4.56
25,7,46,21.07,86.7,6.1,104.55,pomegranate,Northeast Plain,Zaid,5.12
25,22,44,25.02,87.51,5.93,102.23,pomegranate,Southern Hills,Kharif,5.26
23,22,46,20.68,86.79,6.81,98.4,pomegranate,Coastal Delta,Whole Year,4.76
10,17,41,20.65,84.67,6.86,118.51,pomegranate,Northeast Plain,Rabi,5.35
16,12,32,23.17,84.87,6.58,100.92,pomegranate,Western Dry Zone,Rabi,5.04
19,17,44,23.08,87.31,6.5,110.15,pomegranate,Central Plateau,Zaid,5.19
9,23,42,21.99,88.94,6.27,109.03,pomegranate,Central Plateau,Whole Year,5.32
23,13,34,22.54,85.7,6.87,100.23,pomegranate,Central Plateau,Rabi,4.44
30,21,41,22.79,86.22,6.64,115.05,pomegranate,Southern Hills,Rabi,5.02
24,13,41,24.35,85.73,6.04,113.25,pomegranate,Western Dry Zone,Whole Year,4.89
23,15,39,21.29,84.18,6.65,105.81,pomegranate,Southern Hills,Whole Year,4.38
14,18,45,23.4,83.68,6.14,113.52,pomegranate,Southern Hills,Kharif,4.78
22,23,42,24.57,89.29,6.27,98.07,pomegranate,Central Plateau,Whole Year,4.07
6,13,33,24.19,82.76,6.88,90.77,pomegranate,Western Dry Zone,Kharif,4.72
17,6,43,23.46,85.21,6.37,101.17,pomegranate,Southern Hills,Zaid,4.15
21,19,33,21.84,88.37,6.38,112.15,pomegranate,Coastal Delta,Rabi,5.2
22,25,37,19.58,87.76,6.9,115.58,pomegranate,Northeast Plain,Rabi,4.64
19,9,39,21.02,88.25,6.74,110.96,pomegranate,Southern Hills,Zaid,4.35
18,17,35,20.7,86.01,6.82,105.21,pomegranate,Northeast Plain,Whole Year,4.04
24,25,34,19.3,87.25,6.51,105.54,pomegranate,Western Dry Zone,Whole Year,4.01
16,22,40,22.24,91.75,6.63,104.64,pomegranate,Central Plateau,Kharif,4.89
20,16,45,20.55,84.24,6.28,109.06,pomegranate,Central Plateau,Zaid,4.05
